,Sample_Depth,Temperature,OxygenPerSat,Salinity,Sample_Site,SampleID
FiordlandzNov2015zL1z10mza,10,12.27503333,8.3414,34.25163333,L1,FiordlandzNov2015zL1z10mza
FiordlandzNov2015zL1z10mzb,10,12.27503333,8.3414,34.25163333,L1,FiordlandzNov2015zL1z10mzb
FiordlandzNov2015zL1z1mza,0,12.78755,8.9259,33.1225,L1,FiordlandzNov2015zL1z1mza
FiordlandzNov2015zL1z1mzb,0,12.78755,8.9259,33.1225,L1,FiordlandzNov2015zL1z1mzb
FiordlandzNov2015zL2z0mza,0,12.3551,8.5639,33.561,L2,FiordlandzNov2015zL2z0mza
FiordlandzNov2015zL2z0mzb,0,12.3551,8.5639,33.561,L2,FiordlandzNov2015zL2z0mzb
FiordlandzNov2015zL2z10mza,10,12.2208,8.303166667,34.035175,L2,FiordlandzNov2015zL2z10mza
FiordlandzNov2015zL2z10mzb,10,12.2208,8.303166667,34.035175,L2,FiordlandzNov2015zL2z10mzb
FiordlandzNov2015zL3z0mza,0,13.084,8.8307,30.6963,L3,FiordlandzNov2015zL3z0mza
FiordlandzNov2015zL3z0mzb,0,13.084,8.8307,30.6963,L3,FiordlandzNov2015zL3z0mzb
FiordlandzNov2015zL3z10mza,10,12.34446667,5.3004,33.91176667,L3,FiordlandzNov2015zL3z10mza
FiordlandzNov2015zL3z10mzb,10,12.34446667,5.3004,33.91176667,L3,FiordlandzNov2015zL3z10mzb
FiordlandzNov2015zL4z0mza,0,12.65695,9.0425,30.036,L4,FiordlandzNov2015zL4z0mza
FiordlandzNov2015zL4z0mzb,0,12.65695,9.0425,30.036,L4,FiordlandzNov2015zL4z0mzb
FiordlandzNov2015zL5z0mza,0,12.69155,7.9193,29.17795,L5,FiordlandzNov2015zL5z0mza
FiordlandzNov2015zL5z0mzb,0,12.69155,7.9193,29.17795,L5,FiordlandzNov2015zL5z0mzb
FiordlandzNov2015zL5z10mza,10,12.1017,6.9302,33.8361,L5,FiordlandzNov2015zL5z10mza
FiordlandzNov2015zL5z10mzb,10,12.1017,6.9302,33.8361,L5,FiordlandzNov2015zL5z10mzb
FiordlandzNov2015zL6z0mza,0,13.191,8.1333,29.21785,L6,FiordlandzNov2015zL6z0mza
FiordlandzNov2015zL6z0mzb,0,13.191,8.1333,29.21785,L6,FiordlandzNov2015zL6z0mzb
FiordlandzNov2015zL7z0mza,0,13.19125,7.55385,26.93065,L7,FiordlandzNov2015zL7z0mza
FiordlandzNov2015zL7z0mzb,0,13.19125,7.55385,26.93065,L7,FiordlandzNov2015zL7z0mzb
FiordlandzNov2015zL8z0m,0,12.99805,7.9395,31.42805,L8,FiordlandzNov2015zL8z0m
