"","Phylum","Depth_m","N","Abundance","sd","se","ci"
"1","Euryarchaeota",0,2,0.00207245391158495,0.000858025353490662,0.000606715545883231,0.00770905194261233
"2","Euryarchaeota",10,2,0.0157767217830835,0.00321389458974835,0.00227256665842981,0.0288756972386136
"3","Euryarchaeota",360,2,0.0164614994140875,0.00602515183414481,0.00426042571960236,0.054133841456532
"4","Euryarchaeota",100,2,0.0177891277378353,0.0126608931997098,0.00895260343739344,0.113753612197302
"5","Euryarchaeota",200,2,0.0266668575737617,0.0104308087745262,0.00737569561772763,0.0937170985905538
"6","Euryarchaeota",40,2,0.103820183399522,0.000808822025117346,0.000571923538733511,0.00726697757658553
"7","Opisthokonta",100,2,0.0116683715789906,0.00539336266232911,0.00381368331193124,0.0484574409603311
"8","Opisthokonta",360,2,0.012875231950893,0.00164360070516795,0.00116220120418725,0.014767166445032
"9","Opisthokonta",40,2,0.115675320225491,0.00785507691081525,0.00555437815037934,0.0705750659608552
"10","Opisthokonta",10,2,0.136623460036672,0.0365151864243497,0.0258201359369486,0.328075933530731
"11","Opisthokonta",200,2,0.162976909786852,0.217445307726811,0.153757051630824,1.95366857765183
"12","Opisthokonta",0,2,0.366427749922258,0.08603365898671,0.0608349836797936,0.772981757757303
"13","Proteobacteria",0,2,0.0065090920202425,0.00660036523819144,0.00466716301823313,0.0593019288467731
"14","Proteobacteria",100,2,0.0081823699974124,0.00161937680444694,0.00114507231972064,0.0145495233320969
"15","Proteobacteria",40,2,0.0085725763217009,0.00227973980739983,0.00161201947715333,0.0204826495154115
"16","Proteobacteria",10,2,0.0138764962150531,0.0108099786875429,0.00764380923444364,0.0971238050971037
"17","Proteobacteria",200,2,0.0207258287754264,0.0128147622229297,0.00906140526712675,0.115136070521564
"18","Proteobacteria",360,2,0.0233311280055747,0.00841661969526428,0.00595144886118962,0.0756203277071491
"19","Rare Taxa (<1%)",0,28,1.19605779351258e-05,6.32894295058987e-05,1.19605779351258e-05,2.45410788020319e-05
"20","Rare Taxa (<1%)",10,28,0.000532327915094556,0.00123160412597225,0.000232751302214545,0.000477566224634329
"21","Rare Taxa (<1%)",200,28,0.00133669057096221,0.00309268189219888,0.000584461940785065,0.00119921684582409
"22","Rare Taxa (<1%)",40,28,0.0015944419138145,0.00361051663464077,0.000682323508551524,0.00140001219695791
"23","Rare Taxa (<1%)",100,28,0.00192169702170645,0.00412584030651226,0.000779710528585567,0.00159983385657284
"24","Rare Taxa (<1%)",360,28,0.00231298429128073,0.00415842715482151,0.000785868864059686,0.00161246971722936
"25","SAR",0,2,0.624823256054822,0.0915391915099954,0.0647279830610518,0.822447004933371
"26","SAR",40,2,0.749609733259883,0.00957532491710911,0.00677077718095237,0.0860308810842005
"27","SAR",200,2,0.770916735870489,0.190575209544212,0.13475702299476,1.71225032380882
"28","SAR",10,2,0.826270731153868,0.0493261474244934,0.0348788533336666,0.443177851420577
"29","SAR",360,2,0.914950360551515,0.00639585588091045,0.00452255306488364,0.0574644851726258
"30","SAR",100,2,0.935456372381871,0.0142152897311166,0.010051727765404,0.127719310939515
