"","Temperature","OxygenPerSat","Salinity"
"Long_Sound1_0",12.78755,8.9259,33.1225
"Long_Sound1_10",12.27503333,8.3414,34.25163333
"Long_Sound2_0",12.3551,8.5639,33.561
"Long_Sound2_10",12.2208,8.303166667,34.035175
"Long_Sound3_0",13.084,8.8307,30.6963
"Long_Sound3_10",12.34446667,5.3004,33.91176667
"Long_Sound4_0",12.65695,9.0425,30.036
"Long_Sound4_10",12.27206667,6.7313,33.76313333
"Long_Sound5_0",12.69155,7.9193,29.17795
"Long_Sound5_10",12.1017,6.9302,33.8361
"Long_Sound5_40",12.2549,6.0166,34.12873333
"Long_Sound5_100",12.0894,6.207766667,34.1271
"Long_Sound5_200",11.9724,6.683,34.12883333
"Long_Sound5_360",11.99626667,6.506733333,34.13773333
"Long_Sound6_0",13.191,8.1333,29.21785
"Long_Sound6_10",12.1234,8.133566667,33.73716667
"Lomg_Sound7_0",13.19125,7.55385,26.93065
"Long_Sound7_10",12.10553333,8.179966667,33.69996667
"Long_Sound8_0",12.99805,7.9395,31.42805
"Long_Sound8_10",12.01466667,7.797833333,34.20613333
